id,variant_name,type,pattern,scenario,impact,example
1057,Reentrancy Variant 1057,Cross-function reentrancy,Missing reentrancy guard,Variant #1057: Cross-function reentrancy caused by Missing reentrancy guard. Attacker reenters contract flow before state update.,Token supply manipulation,Cross-function: deposit() sets state after external token transfer().
1058,Reentrancy Variant 1058,Read-only reentrancy,Multiple entry points sharing same state variable,Variant #1058: Read-only reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
1059,Reentrancy Variant 1059,Recursive fallback reentrancy,Hooks triggered without control flow guard,Variant #1059: Recursive fallback reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Complete balance drain,Vault updates shares after sending tokens to attacker contract.
1060,Reentrancy Variant 1060,Recursive fallback reentrancy,Multiple entry points sharing same state variable,Variant #1060: Recursive fallback reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
1061,Reentrancy Variant 1061,Cross-contract reentrancy,Upgradeable proxy storage collision,Variant #1061: Cross-contract reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1062,Reentrancy Variant 1062,Cross-function reentrancy,Unsafe external call to attacker contract,Variant #1062: Cross-function reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Inflated share minting,Vault updates shares after sending tokens to attacker contract.
1063,Reentrancy Variant 1063,State-dependent reentrancy,External call inside loop,Variant #1063: State-dependent reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1064,Reentrancy Variant 1064,Withdraw-before-update reentrancy,Fallback invoked before state lock,Variant #1064: Withdraw-before-update reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
1065,Reentrancy Variant 1065,Reentrancy via delegatecall,Recursive callback before mutation,Variant #1065: Reentrancy via delegatecall caused by Recursive callback before mutation. Attacker reenters contract flow before state update.,Partial draining of pooled funds,Vault updates shares after sending tokens to attacker contract.
1066,Reentrancy Variant 1066,Pull-payment reentrancy,Upgradeable proxy storage collision,Variant #1066: Pull-payment reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Partial draining of pooled funds,"Attacker calls withdraw(), fallback triggers withdraw() repeatedly."
1067,Reentrancy Variant 1067,ERC777-hook reentrancy,State updated after external call,Variant #1067: ERC777-hook reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
1068,Reentrancy Variant 1068,Cross-function reentrancy,Upgradeable proxy storage collision,Variant #1068: Cross-function reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
1069,Reentrancy Variant 1069,State-dependent reentrancy,State updated after external call,Variant #1069: State-dependent reentrancy caused by State updated after external call. Attacker reenters contract flow before state update.,Complete balance drain,Cross-function: deposit() sets state after external token transfer().
1070,Reentrancy Variant 1070,Single-function reentrancy,Hooks triggered without control flow guard,Variant #1070: Single-function reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Token supply manipulation,Cross-function: deposit() sets state after external token transfer().
1071,Reentrancy Variant 1071,Single-function reentrancy,Upgradeable proxy storage collision,Variant #1071: Single-function reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Complete balance drain,Attacker leverages ERC777 tokens to reenter before balance is updated.
1072,Reentrancy Variant 1072,Cross-function reentrancy,Unsafe external call to attacker contract,Variant #1072: Cross-function reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Bypassing access restrictions,Vault updates shares after sending tokens to attacker contract.
1073,Reentrancy Variant 1073,Cross-function reentrancy,External call inside loop,Variant #1073: Cross-function reentrancy caused by External call inside loop. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Cross-function: deposit() sets state after external token transfer().
1074,Reentrancy Variant 1074,Cross-function reentrancy,Hooks triggered without control flow guard,Variant #1074: Cross-function reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Inflated share minting,Attacker leverages ERC777 tokens to reenter before balance is updated.
1075,Reentrancy Variant 1075,State-dependent reentrancy,Unsafe external call to attacker contract,Variant #1075: State-dependent reentrancy caused by Unsafe external call to attacker contract. Attacker reenters contract flow before state update.,Draining rewards pool,Cross-function: deposit() sets state after external token transfer().
1076,Reentrancy Variant 1076,Recursive fallback reentrancy,Multiple entry points sharing same state variable,Variant #1076: Recursive fallback reentrancy caused by Multiple entry points sharing same state variable. Attacker reenters contract flow before state update.,Unauthorized repeated withdrawals,Vault updates shares after sending tokens to attacker contract.
1077,Reentrancy Variant 1077,Withdraw-before-update reentrancy,Fallback invoked before state lock,Variant #1077: Withdraw-before-update reentrancy caused by Fallback invoked before state lock. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
1078,Reentrancy Variant 1078,Single-function reentrancy,Hooks triggered without control flow guard,Variant #1078: Single-function reentrancy caused by Hooks triggered without control flow guard. Attacker reenters contract flow before state update.,Inflated share minting,Cross-function: deposit() sets state after external token transfer().
1079,Reentrancy Variant 1079,State-dependent reentrancy,Upgradeable proxy storage collision,Variant #1079: State-dependent reentrancy caused by Upgradeable proxy storage collision. Attacker reenters contract flow before state update.,Token supply manipulation,Attacker leverages ERC777 tokens to reenter before balance is updated.
